epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2845.64,0.67278,0.51757,1.11084,0.87172,0.81043,0.87094,0.63191,0.87274,0.60485,1.31773,0.000575563,0.000575563,0.000575563
111,2869.88,0.69026,0.53291,1.12235,0.8336,0.77604,0.85285,0.61343,0.88979,0.62385,1.31009,0.000569375,0.000569375,0.000569375
112,2894.24,0.66152,0.48987,1.10465,0.85936,0.75916,0.85423,0.62331,0.88655,0.62834,1.31843,0.000563187,0.000563187,0.000563187
113,2918.43,0.6509,0.48758,1.09963,0.84917,0.75317,0.84794,0.61044,0.88917,0.6712,1.32537,0.000557,0.000557,0.000557
114,2942.63,0.65746,0.49308,1.10936,0.84646,0.77673,0.87513,0.64486,0.87309,0.64452,1.29853,0.000550813,0.000550813,0.000550813
115,2966.81,0.64893,0.48168,1.09763,0.81074,0.76572,0.84777,0.61632,0.87184,0.63674,1.3081,0.000544625,0.000544625,0.000544625
116,2991.06,0.65265,0.4886,1.09989,0.84098,0.75096,0.84713,0.62481,0.89488,0.67286,1.32289,0.000538438,0.000538438,0.000538438
117,3015.25,0.64597,0.48436,1.09233,0.80174,0.77842,0.84409,0.61657,0.88599,0.63331,1.30997,0.00053225,0.00053225,0.00053225
118,3039.55,0.64108,0.47528,1.09992,0.80167,0.81936,0.86728,0.62676,0.89789,0.60698,1.32448,0.000526063,0.000526063,0.000526063
119,3063.67,0.65118,0.4902,1.10603,0.78777,0.80344,0.83772,0.61393,0.90097,0.65997,1.3474,0.000519875,0.000519875,0.000519875
120,3087.93,0.6418,0.48043,1.0969,0.81193,0.78654,0.8472,0.61617,0.88459,0.65892,1.32362,0.000513688,0.000513688,0.000513688
121,3112.04,0.64688,0.48944,1.09857,0.76276,0.87614,0.8715,0.63131,0.88247,0.63043,1.31239,0.0005075,0.0005075,0.0005075
122,3136.28,0.63772,0.48279,1.09483,0.83458,0.77945,0.86738,0.62481,0.90849,0.6573,1.35711,0.000501313,0.000501313,0.000501313
123,3160.49,0.65274,0.48199,1.09721,0.83446,0.77984,0.86112,0.61807,0.90058,0.63517,1.35016,0.000495125,0.000495125,0.000495125
124,3184.92,0.64358,0.47252,1.08617,0.86117,0.7497,0.85924,0.62536,0.88505,0.64165,1.32208,0.000488938,0.000488938,0.000488938
